Categories,Available Services,1 oz.,2 oz.,3 oz.,4 oz.,5 oz.,6 oz.,7 oz.,8 oz.,9 oz.,10 oz.,11 oz.,12 oz.,13 oz.,14 oz.,15 oz.,15.99 oz.,1 lb.,2 lb.,3 lb.,4 lb.,5 lb.,6 lb.,7 lb.,8 lb.,9 lb.,10 lb.,11 lb.,12 lb.,13 lb.,14 lb.,15 lb.,16 lb.,17 lb.,18 lb.,19 lb.,20 lb.,21 lb.,22 lb.,23 lb.,24 lb.,25 lb.,26 lb.,27 lb.,28 lb.,29 lb.,30 lb.,31 lb.,32 lb.,33 lb.,34 lb.,35 lb.,36 lb.,37 lb.,38 lb.,39 lb.,40 lb.,41 lb.,42 lb.,43 lb.,44 lb.,45 lb.,46 lb.,47 lb.,48 lb.,49 lb.,50 lb.,51 lb.,52 lb.,53 lb.,54 lb.,55 lb.
Baby -> Strollers, SC ,,,,,,,,,,,,,,,,,,,,,,,,,,5.66,5.81,5.96,6.11,6.26,6.4,6.55,6.7,6.85,7.0,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baby -> Walkers, Swings & Bouncers", SC ,,,,,,,,,,,,,,,,,,,,,4.81,4.98,5.15,5.32,5.49,5.66,5.81,5.96,6.11,6.26,6.4,6.55,6.7,6.85,7.0,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Books, SC&VAS ,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,4.25,4.72,5.2,5.67,6.14,6.61,7.08,7.56,7.56,7.56,8.01,8.46,8.92,9.7,10.49,11.27,12.06,12.84,13.53,14.22,14.91,15.59,16.28,16.97,17.66,18.34,19.03,19.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clothing,  ,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,4.25,4.72,5.2,5.67,6.14,6.61,7.08,7.56,7.56,7.56,8.01,8.46,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & Accessories", SC&VAS ,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,4.25,4.72,5.2,5.67,6.14,6.61,7.08,7.56,7.56,7.56,8.01,8.46,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Babies", SC&VAS ,,3.78,3.78,3.78,3.78,3.78,3.78,3.78,4.25,4.72,5.2,5.67,6.14,6.61,7.08,7.56,7.56,7.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Boys", SC&VAS ,,3.78,3.78,3.78,3.78,3.78,3.78,3.78,4.25,4.72,5.2,5.67,6.14,6.61,7.08,7.56,7.56,7.56,8.01,8.46,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Girls", SC&VAS ,,3.78,3.78,3.78,3.78,3.78,3.78,3.78,4.25,4.72,5.2,5.67,6.14,6.61,7.08,7.56,7.56,7.56,8.01,8.46,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Boys -> Underwear", SC ,,1.99,1.99,1.99,1.99,1.99,1.99,1.99,2.24,2.49,2.74,2.99,3.24,3.48,3.73,3.98,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Girls -> Underwear", SC ,,,,,,1.99,1.99,1.99,2.24,2.49,2.74,2.99,3.24,3.48,3.73,3.98,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Mens -> Dress Shirts", SC&VAS ,,,,,,3.78,3.78,3.78,4.25,4.72,5.2,5.67,6.14,6.61,7.08,7.56,7.56,7.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Mens -> Jackets & Outerwear", SC&VAS ,,,,,,3.78,3.78,3.78,4.25,4.72,5.2,5.67,6.14,6.61,7.08,7.56,7.56,7.56,8.01,8.46,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Mens -> Jeans, Pants & Shorts", SC&VAS ,,,,,,3.78,3.78,3.78,4.25,4.72,5.2,5.67,6.14,6.61,7.08,7.56,7.56,7.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Mens -> Sleepwear & Robes", SC&VAS ,,,,,,3.78,3.78,3.78,4.25,4.72,5.2,5.67,6.14,6.61,7.08,7.56,7.56,7.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Mens -> Suits & Sportcoats", SC&VAS ,,,,,,,,,,,,,,,,,7.56,7.56,8.01,8.46,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Mens -> Swimwear", SC&VAS ,,,,,,3.78,3.78,3.78,4.25,4.72,5.2,5.67,6.14,6.61,7.08,7.56,7.56,7.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
